neuron_id,source,group,exclusive,n_points,n_points_within_10um,frac_points_within_10um,n_points_within_20um,frac_points_within_20um
1224945418,EM,projection,True,4623,21,0.004542504866969501,44,0.009517629245078953
1228683492,EM,projection,True,13330,78,0.005851462865716429,98,0.007351837959489872
1261129711,EM,projection,True,3466,37,0.010675129832660127,103,0.02971725331794576
1261130127,EM,projection,True,4122,67,0.016254245511887432,93,0.022561863173216887
1261423370,EM,projection,False,3779,158,0.0418100026462027,206,0.05451177560201111
1262114202,EM,projection,True,3266,69,0.02112676056338028,92,0.028169014084507043
1266871604,EM,projection,True,7341,72,0.009807928075194115,171,0.023293829178586023
1290416713,EM,projection,True,9344,69,0.007384417808219178,89,0.009524828767123288
1322474586,EM,projection,True,1295,39,0.030115830115830116,66,0.050965250965250966
1419019956,EM,projection,True,5035,52,0.010327706057596822,70,0.013902681231380337
1448929233,EM,projection,True,26981,228,0.008450391015900078,299,0.011081872428746154
1469403612,EM,projection,True,12013,196,0.016315658037126448,215,0.017897277948888703
1510648834,EM,projection,True,7370,69,0.009362279511533242,218,0.029579375848032566
1602402027,EM,projection,True,5821,48,0.008246005840920804,86,0.014774093798316441
1610224198,EM,projection,True,382,42,0.1099476439790576,75,0.19633507853403143
1639886198,EM,projection,False,29327,208,0.007092440413271047,581,0.019811095577454224
1640555311,EM,projection,False,26824,322,0.012004175365344467,421,0.015694900089472115
1641250106,EM,projection,True,254,20,0.07874015748031496,36,0.14173228346456693
1670278227,EM,projection,True,2329,42,0.018033490768570203,78,0.03349076857020181
1700644008,EM,projection,False,9172,136,0.014827736589620584,231,0.025185346707370257
1729935421,EM,projection,True,3673,29,0.007895453307922679,52,0.014157364552137218
203253253,EM,projection,True,18715,93,0.004969275981832754,111,0.0059310713331552235
266187383,EM,projection,True,4302,27,0.006276150627615063,88,0.020455602045560205
267896360,EM,projection,True,4361,82,0.01880302682870901,232,0.053198807612932816
296543992,EM,projection,False,11656,124,0.010638297872340425,175,0.01501372683596431
297166053,EM,projection,True,6779,76,0.011211093081575453,98,0.014456409499926243
299082033,EM,projection,True,8864,206,0.023240072202166066,1169,0.13188176895306858
300972942,EM,projection,True,4808,599,0.12458402662229617,2549,0.5301580698835274
326253554,EM,projection,True,49090,262,0.0053371358728865346,427,0.008698309227948666
328632707,EM,projection,True,22538,260,0.011536072411039135,329,0.014597568550891827
328943204,EM,projection,True,13418,66,0.00491876583693546,277,0.020643911164107916
329970706,EM,projection,False,14996,70,0.00466791144305148,89,0.0059349159775940255
330268940,EM,projection,False,57495,339,0.005896164883902948,404,0.0070266979737368465
331662710,EM,projection,False,31644,86,0.0027177347996460623,102,0.003223359878649981
361040812,EM,projection,True,12903,119,0.00922266139657444,295,0.022862900100751763
418969956,EM,projection,True,2853,32,0.011216263582194182,50,0.01752541184717841
421641859,EM,projection,False,34312,127,0.003701328981114479,207,0.006032874795989741
422682603,EM,projection,True,1888,30,0.015889830508474576,48,0.025423728813559324
422725634,EM,projection,True,9826,138,0.014044372074089151,1171,0.11917362100549563
423774471,EM,projection,True,7221,88,0.012186677745464617,107,0.014817892258689931
424789697,EM,projection,True,36356,359,0.009874573660468698,444,0.0122125646385741
454439022,EM,projection,True,2688,44,0.01636904761904762,67,0.02492559523809524
456156825,EM,projection,True,6230,47,0.007544141252006421,69,0.011075441412520063
457175171,EM,projection,True,9303,90,0.009674298613350531,112,0.012039127163280662
484911954,EM,projection,True,9274,128,0.013802027172740997,367,0.039572999784343324
485745069,EM,projection,True,11213,274,0.024435922589851066,303,0.027022206367609027
486544396,EM,projection,True,11086,76,0.006855493415118167,88,0.007937939743821036
517514142,EM,projection,False,21982,72,0.0032754071513056136,103,0.004685651897006642
517854468,EM,projection,True,8105,60,0.007402837754472548,76,0.009376927822331894
518899665,EM,projection,True,10177,119,0.011693033310405818,142,0.013953031345190135
519046655,EM,projection,True,25333,254,0.010026447716417322,1468,0.057948130896459164
519279166,EM,projection,True,7285,87,0.011942347288949898,231,0.03170899107755663
519591210,EM,projection,True,2808,33,0.011752136752136752,54,0.019230769230769232
549282467,EM,projection,True,16153,64,0.003962112301120535,259,0.016034173218597163
550280614,EM,projection,True,6519,35,0.005368921613744439,75,0.01150483202945237
550617370,EM,projection,True,3349,43,0.012839653627948642,60,0.017915795759928337
575768294,EM,projection,False,26047,162,0.006219526241025838,202,0.0077552117326371555
579916831,EM,projection,True,3554,41,0.011536297129994372,57,0.016038266741699492
580287695,EM,projection,True,3876,61,0.015737874097007224,87,0.02244582043343653
5812979156,EM,projection,True,6532,50,0.0076546233925290875,152,0.023270055113288425
5812980638,EM,projection,True,2531,29,0.011457921770051362,55,0.021730541288028447
5812981543,EM,projection,True,9100,40,0.004395604395604396,56,0.006153846153846154
5812982779,EM,projection,True,2955,67,0.022673434856175973,160,0.05414551607445008
5813020455,EM,projection,True,1469,48,0.03267528931245745,66,0.044928522804629
5813020585,EM,projection,True,1302,26,0.019969278033794162,43,0.03302611367127496
5813020673,EM,projection,False,9087,57,0.006272697259821723,88,0.009684164190601958
5813022201,EM,projection,True,3291,52,0.015800668489820723,74,0.022485566697052567
5813022925,EM,projection,True,6938,228,0.032862496396656095,244,0.035168636494667053
5813026366,EM,projection,True,8589,302,0.03516125276516475,392,0.045639771801140996
5813034306,EM,projection,True,3414,45,0.013181019332161687,70,0.020503807850029292
5813049380,EM,projection,False,24090,129,0.005354919053549191,161,0.0066832710668327105
5813057274,EM,projection,True,24652,95,0.0038536427064741197,113,0.004583806587700795
5813058048,EM,projection,True,26857,74,0.002755333804967048,110,0.004095766466842909
5813058316,EM,projection,True,3033,23,0.007583250906693043,98,0.03231124299373558
5813068729,EM,projection,True,4880,545,0.11168032786885246,2617,0.5362704918032787
5813077405,EM,projection,True,6504,184,0.028290282902829027,246,0.03782287822878229
5813087817,EM,projection,True,10533,39,0.00370264881800057,59,0.005601443083641887
5813089803,EM,projection,True,3401,36,0.010585122022934431,55,0.016171714201705382
5901203987,EM,projection,True,15560,337,0.021658097686375322,374,0.02403598971722365
604864392,EM,projection,True,3291,44,0.013369796414463689,256,0.07778790641142509
608922563,EM,projection,True,26745,328,0.012263974574686858,484,0.018096840530940364
609587511,EM,projection,True,2590,38,0.014671814671814672,67,0.025868725868725868
612414168,EM,projection,True,11557,143,0.012373453318335208,169,0.014623172103487065
613079053,EM,projection,True,18219,198,0.010867775399308414,227,0.012459520281025304
613719036,EM,projection,True,3156,27,0.008555133079847909,78,0.024714828897338403
