fc_id,em_id,conf,group,nblast_official
Cha-F-300344,5813053836,0.7,D2_dense,0.31003624307583694
Cha-F-300344,859507274,0.7,D2_dense,0.3958020868156513
Cha-F-400237,5813098368,0.3,D2_dense,0.4738105465616067
Cha-F-400237,5813027276,0.4,D2_dense,0.5296505737101467
Cha-F-500071,1105169664,0.8,D2_dense,0.3134453785950378
Cha-F-500071,1012954687,0.5,D2_dense,0.18075944970913174
Cha-F-500310,5813009312,0.1,D2_dense,0.3576733881649101
Cha-F-700236,360259229,0.0,D2_dense,0.15128914857571185
Cha-F-800090,296139882,0.6,D2_dense,0.48440550352950873
Cha-F-800090,297251714,0.6,D2_dense,0.46300751099637777
E0585-F-600004,5813010510,0.5,D2_dense,0.22004824258666986
GH146-M-000001,610274029,0.8,D2_dense,0.24616393708549056
Gad1-F-000245,953414780,0.0,D2_dense,0.19482852613775772
Gad1-F-000694,5813033371,0.3,D2_dense,0.34280137119776855
Gad1-F-000694,1480525278,0.0,D2_dense,0.23372052898248202
Gad1-F-000703,424716408,0.1,D2_dense,0.3842377967929047
Gad1-F-000703,5813068669,0.2,D2_dense,0.1775566385316512
Gad1-F-100171,1224595608,0.7,D2_dense,0.42378749657159526
Gad1-F-100784,832016427,0.7,D2_dense,0.35806475813985217
Gad1-F-200186,1916800213,0.2,D2_dense,0.21694687158256104
Gad1-F-200186,1762359683,0.0,D2_dense,0.177732659607034
Gad1-F-200219,5901197108,0.7,D2_dense,0.3643609038193991
Gad1-F-200247,543692985,0.6,D2_dense,0.38849163247945045
Gad1-F-200719,5813039309,0.0,D2_dense,0.2401571243529963
Gad1-F-200719,1640555311,0.0,D2_dense,0.23124078627815944
Gad1-F-400220,550638250,0.7,D2_dense,0.5336041251066015
Gad1-F-500004,294436967,0.7,D2_dense,0.3016875686536128
Gad1-F-500321,574377562,0.7,D2_dense,0.33967770629862454
Gad1-F-500457,1261423370,0.7,D2_dense,0.5600481882885329
Gad1-F-600059,328546871,1.0,D2_dense,0.35207091468546264
Gad1-F-600604,1793403571,0.8,D2_dense,0.2514189331338039
Gad1-F-700193,634379734,0.8,D2_dense,0.22625706768279494
Gad1-F-700607,977338882,0.7,D2_dense,0.4585142299899586
Gad1-F-700607,915610561,0.7,D2_dense,0.4719906013071082
Gad1-F-700607,1008378609,0.7,D2_dense,0.4130459620320326
Gad1-F-800371,5813082723,0.6,D2_dense,0.360941417767692
Gad1-F-900395,5813049380,0.8,D2_dense,0.49332366938365024
TH-F-000009,5813054384,0.9,D2_dense,0.38182173512081297
TH-F-000009,1378251040,0.6,D2_dense,0.14602528994736927
TH-F-000010,5812980529,0.7,D2_dense,0.37431899800087287
TH-F-000010,360591860,0.6,D2_dense,0.3260260519422755
TH-F-000010,5901203505,0.7,D2_dense,0.2924370793256629
TH-F-000012,487144598,0.0,D2_dense,0.2998460126513635
TH-F-000019,859265651,0.7,D2_dense,0.5933659043795997
TH-F-000019,5813027592,0.5,D2_dense,0.3951188945126659
TH-F-000036,859265651,0.0,D2_dense,0.40398303227635857
TH-F-000046,604289581,0.0,D2_dense,0.2835026929658818
TH-F-000046,550404663,0.1,D2_dense,0.3273992073193026
TH-F-000079,1378251040,0.1,D2_dense,0.1315982624517631
TH-F-000091,331662710,1.0,D2_dense,0.4949132942320437
TH-F-100005,1378251040,0.0,D2_dense,0.15256675285715915
TH-F-100005,5813054384,0.8,D2_dense,0.3834161441397025
TH-F-100036,360591860,0.7,D2_dense,0.30618049237724393
TH-F-100036,5901203505,0.6,D2_dense,0.27163507845786566
TH-F-100050,1131827390,0.8,D2_dense,0.49345012950458744
TH-F-100075,859265651,0.0,D2_dense,0.4417777926279676
TH-F-100095,331662710,1.0,D2_dense,0.2833317712862245
TH-F-100099,331662710,1.0,D2_dense,0.34837359812143565
TH-F-200004,859265651,0.0,D2_dense,0.42084718667190013
TH-F-200004,5813011298,0.6,D2_dense,0.3836944912267557
TH-F-200010,331662710,1.0,D2_dense,0.3649739326679015
TH-F-200026,5813009595,0.9,D2_dense,0.44607399648146173
TH-F-200034,331662710,1.0,D2_dense,0.3606885912089813
TH-F-200064,331662710,1.0,D2_dense,0.26466932557320605
TH-F-200081,331662710,1.0,D2_dense,0.3207124758996531
