fc_id,em_id,group
VGlut-F-500002,5813021602,dense
VGlut-F-200036,979627466,dense
VGlut-F-000463,5813024692,dense
TH-M-200095,393766777,dense
VGlut-F-000158,297917475,dense
TH-M-200010,5813020996,dense
Cha-F-400237,701201945,dense
Gad1-F-600059,359598627,dense
TH-F-200064,361312808,dense
Gad1-F-600059,1110972158,dense
TH-F-200081,361312808,dense
fru-F-000094,548712377,dense
Cha-F-000329,454002974,dense
TH-M-300063,5813049380,dense
Cha-F-200299,5812987694,dense
TH-F-000036,486880919,dense
VGlut-F-000463,610274046,dense
TH-M-200095,548712377,dense
VGlut-F-100002,5813055298,dense
TH-F-300037,361312808,dense
VGlut-F-200319,5813068669,dense
Gad1-F-600059,298595394,dense
TH-M-200010,735941254,dense
VGlut-F-400049,327499164,dense
TH-F-200034,361312808,dense
TH-M-200095,579575594,dense
TH-M-200049,361312808,dense
VGlut-F-600204,1005857944,dense
VGlut-F-200036,5813021583,dense
VGlut-F-000463,610274029,dense
VGlut-F-600204,5813068748,dense
VGlut-F-400049,330268940,dense
VGlut-F-200319,421646999,dense
TH-M-200064,361312808,dense
Gad1-F-600059,455431209,dense
VGlut-F-000158,361273559,dense
Trh-M-300071,957506896,dense
Trh-M-300071,1070426862,dense
VGlut-F-600204,669325882,dense
TH-F-100075,510987433,dense
TH-F-200004,510987433,dense
TH-F-100075,329225149,dense
TH-F-000036,326817334,dense
TH-F-100095,361312808,dense
TH-F-100075,297251714,dense
VGlut-F-500002,297251714,dense
Cha-F-000329,579510789,dense
TH-M-300063,331662710,dense
VGlut-F-500002,296139882,dense
TH-F-200004,361005850,dense
VGlut-F-000158,298214577,dense
TH-M-000045,361312808,dense
TH-F-200026,331662710,dense
VGlut-F-300438,358890923,dense
TH-M-000029,5813055949,dense
TH-F-000010,359931311,dense
Cha-F-200299,5813059915,dense
VGlut-F-200036,5813056261,dense
TH-F-000009,5813021112,dense
VGlut-F-000016,5813033371,dense
VGlut-F-200392,950880008,dense
Trh-M-700039,543692985,dense
TH-F-200106,5813055913,dense
TH-F-300062,5813082239,dense
TH-F-100095,328611004,dense
VGlut-F-300438,390280026,dense
Trh-M-300071,5813062858,dense
TH-M-200013,1107561814,dense
TH-F-200081,328611004,dense
Trh-M-300071,953414780,dense
Cha-F-100135,422738252,dense
TH-M-000029,487143497,dense
VGlut-F-000111,484359937,dense
Trh-M-700039,516055524,dense
Cha-F-300267,329646990,dense
VGlut-F-500002,329225149,dense
TH-F-300037,328611004,dense
Cha-F-100135,424793122,dense
TH-F-200034,328611004,dense
VGlut-F-100002,5813126031,dense
VGlut-F-100002,2095549849,dense
TH-M-300005,579268807,dense
VGlut-F-000111,5813032849,dense
TH-M-000008,579268807,dense
TH-F-200037,422751191,dense
TH-F-200037,330640044,dense
VGlut-F-400049,360255138,dense
TH-F-100095,5813049380,dense
VGlut-F-000303,5813056909,dense
TH-F-100083,5813049380,dense
TH-F-200037,517514142,dense
VGlut-F-200036,823058891,dense
TH-F-100099,328611004,dense
VGlut-F-000111,671233447,dense
TH-M-100016,328611004,dense
VGlut-F-000111,1043705078,dense
TH-F-300078,576825965,dense
Cha-F-100135,735941254,dense
TH-F-200037,328611004,dense
VGlut-F-400049,329225149,dense
TH-M-300063,5813020673,dense
TH-F-000019,514842241,dense
TH-M-000045,328611004,dense
Cha-F-100135,5813020996,dense
VGlut-F-000303,575768294,dense
Cha-F-000329,609548390,dense
TH-M-200064,328611004,dense
TH-F-200081,5813049380,dense
TH-M-000008,5813055913,dense
TH-F-200096,5813049380,dense
TH-M-200013,5813048837,dense
TH-F-300037,393063351,dense
TH-F-000019,487143497,dense
TH-F-200064,328611004,dense
TH-F-000009,797442049,dense
VGlut-F-200392,5812987694,dense
Trh-M-100071,707539688,dense
TH-F-000036,602368546,dense
VGlut-F-700261,1228265278,dense
TH-F-200034,393063351,dense
TH-F-000009,1014344148,dense
Trh-M-200043,2040301572,dense
TH-F-000009,5813063093,dense
VGlut-F-000303,329897255,dense
Trh-F-100066,707539688,dense
VGlut-F-100035,5813068707,dense
VGlut-F-100035,488231898,dense
TH-M-200064,298258399,dense
TH-F-100083,329970706,dense
Trh-F-100001,707539688,dense
VGlut-F-200062,5813021602,dense
TH-M-200035,543692985,dense
VGlut-F-200062,487143497,dense
Trh-F-100001,922069357,dense
TH-F-200064,5813049380,dense
