fc_id,em_id,group,label,score,em_density,em_cable_in_query_hull_um,query_hull_um3,eff_density,orphan_fwd
Gad1-F-800094,1290416713,projection,0,-0.7747361061493943,0.0103089118135138,0.0,218588.29268491015,0.0,1.0
Gad1-F-900001,1290416713,projection,0,-0.7244915942460253,0.0103089118135138,0.0,256899.9916224364,0.0,1.0
Gad1-F-900001,5813026366,projection,0,-0.7814685238383579,0.0190879098879365,0.0,256899.9916224364,0.0,1.0
Gad1-F-900194,1448929233,projection,0,-0.6329073360729531,0.0234999597864878,528.0,285100.35769327893,0.0018519794372479923,0.9558924879393522
Gad1-F-900194,1193560072,projection,0,-0.8789543492798808,0.0112084219088481,0.0,285100.35769327893,0.0,1.0
TH-F-000101,331662710,projection,1,0.389378180727491,0.007491428241166,24795.0,1260892.7291451094,0.019664638733233965,0.1908256880733945
TH-F-000101,421641859,projection,0,-0.0075047343863395,0.0139169057525503,17238.0,1260892.7291451094,0.013671266081205367,0.6061162079510704
TH-F-100083,331662710,projection,1,0.3124930450489763,0.007491428241166,23949.0,1586227.6926347294,0.01509808466413837,0.28298153034300794
TH-F-100083,329970706,projection,0,-0.1185552535961422,0.0036779189118565,7308.0,1586227.6926347294,0.004607156988831401,0.7717678100263852
TH-F-100099,331662710,projection,1,0.3483735981214356,0.007491428241166,20648.0,1200098.5026374366,0.017205254364222797,0.17690025108422736
TH-F-100099,329970706,projection,0,-0.1074443416286648,0.0036779189118565,5670.0,1200098.5026374366,0.004724612177699693,0.7409267290572928
TH-F-200030,328943204,projection,0,0.2758254966704023,0.0076330946355248,11245.0,1432790.966214951,0.007848318606939762,0.3476443768996961
TH-F-200030,203253253,projection,0,-0.0502550301836351,0.0050145256669202,11815.0,1432790.966214951,0.008246143560781974,0.7498100303951368
TH-F-200033,517514142,projection,1,0.3289247120460526,0.0056025529566805,15989.0,1749254.0763962038,0.009140467480253286,0.22833333333333333
TH-F-200033,608922563,projection,0,0.257518916387218,0.0058743941223932,20696.0,1749254.0763962038,0.011831328724205519,0.37866666666666665
TH-F-200081,331662710,projection,1,0.3207124758996531,0.007491428241166,21596.0,1420016.2902909406,0.015208276234334815,0.27830740926576353
TH-F-200081,330268940,projection,0,0.1063894039790611,0.0222252385627405,34347.0,1420016.2902909406,0.02418775068627051,0.5015888944639572
TH-F-300020,484911954,projection,0,-0.1635782142136456,0.0039895429542254,5268.0,2094033.3599998164,0.002515719233814146,0.8585
TH-F-300020,1048172314,projection,0,-0.3556647418547027,0.0071806264963886,2939.0,2094033.3599998164,0.0014035115467311645,0.85
TH-F-300073,328943204,projection,1,0.2607975253018051,0.0076330946355248,12077.0,1491632.3553043997,0.008096499085081477,0.4252302025782689
TH-F-300073,361040812,projection,0,-0.0600716496115868,0.0067547716549654,8444.0,1491632.3553043997,0.005660912335383621,0.7211786372007366
TH-F-700001,418969956,projection,0,-0.7204792631740284,0.004179687703868,0.0,498967.066099598,0.0,1.0
TH-F-700001,297166053,projection,0,-0.525868251513729,0.0044662951221174,50.0,498967.066099598,0.00010020701444455571,1.0
TH-F-700004,643830129,projection,0,-0.6388884690126369,0.0083096235088328,0.0,450439.7420468227,0.0,0.9870186066637819
TH-F-700004,5813089803,projection,0,-0.6663342470920484,0.0084035319808809,4.0,450439.7420468227,8.880211106204312e-06,0.9865858935525746
TH-F-700016,5812982779,projection,1,0.3683113308176248,0.0065298447043999,2661.0,315174.8386519352,0.008442932853972799,0.21947994711326577
TH-F-700016,5813089803,projection,0,-0.6625872509646294,0.0084035319808809,0.0,315174.8386519352,0.0,0.998237108858528
TH-F-700022,946645313,projection,0,-0.5694746194111477,0.00623573471337,0.0,441882.05170242576,0.0,1.0
TH-F-700022,981362334,projection,1,-0.3004271490219629,0.0029883793967243,1192.0,441882.05170242576,0.002697552424697082,0.8233585124927367
TH-M-300021,517514142,projection,1,0.2335597622803175,0.0056025529566805,13566.0,1535089.2306047939,0.008837271299633359,0.344433688286544
TH-M-300021,5813049380,projection,0,0.2081903969533811,0.0059667901423478,14702.0,1535089.2306047939,0.009577293428218314,0.42787996127783157
TH-M-500003,580287695,projection,0,-0.240306303046381,0.0062937900013825,1193.0,405162.02514747326,0.0029445010291025294,0.8266369047619048
TH-M-500003,456156825,projection,0,-0.2121913321427483,0.0049672818079755,3271.0,405162.02514747326,0.008073313383230824,0.7797619047619048
