em_id,mean_score,max_score,n_chance,n_rank1,n_top5,group
328533896,0.44704446,0.78133374,32,0,0,unseen
328538398,0.27706206,0.6520193,164,0,0,unseen
328538408,0.072558835,0.32940292,322,0,0,unseen
328542009,0.28095788,0.50323087,184,0,0,unseen
328542218,0.3584087,0.73056066,127,0,0,unseen
328543014,0.17345642,0.35241282,68,0,0,unseen
328543082,0.25138682,0.58838385,321,0,0,unseen
328546621,0.009633676,0.12602672,296,0,0,unseen
328546871,0.26619855,0.62954974,634,0,0,pos_only
328559607,0.0982606,0.5060907,998,0,0,unseen
328563364,0.08887216,0.6948465,410,0,0,unseen
328593903,0.24221277,0.49834692,780,0,0,unseen
328601956,0.17603125,0.70921737,1218,0,0,neg_only
328611004,0.031277876,0.13975258,522,0,0,both
328632707,0.073725134,0.42884627,604,0,0,neg_only
328860895,0.36928672,0.758411,313,0,0,unseen
328861072,0.062992945,0.23461671,504,0,0,unseen
328861126,0.055296037,0.3671777,235,0,0,unseen
328861282,0.026853943,0.10338359,640,0,0,unseen
328870472,0.017799538,0.09468496,308,0,0,both
328875073,0.2755955,0.61731416,236,0,0,unseen
328879562,0.11279151,0.2770751,146,0,0,unseen
328883690,0.18111758,0.42599696,831,0,0,unseen
328887977,0.25681943,0.71658266,307,0,0,unseen
328905011,0.09376906,0.5168154,313,0,0,unseen
328909309,0.10592946,0.76688,323,0,0,unseen
328930845,0.2514824,0.69607407,329,0,0,unseen
328935472,0.32327622,0.6943498,577,0,0,unseen
328943204,0.092366174,0.27173877,25,0,0,neg_only
328948348,0.23269124,0.7460321,330,0,0,unseen
328952123,0.06365177,0.28805482,444,0,0,unseen
328956505,0.08274456,0.37823126,381,0,0,unseen
329102850,0.2826968,0.89279777,329,0,4,unseen
329206270,0.3971782,0.6947806,7,0,0,unseen
329206628,0.328824,0.6066627,192,0,0,unseen
329210713,0.29821894,0.55185133,21,0,0,unseen
329211098,0.31122267,0.58753157,20,0,0,unseen
329211374,0.03139539,0.3405459,280,0,0,unseen
329214990,0.3461262,0.7112026,227,0,0,unseen
329215304,0.18853143,0.5357595,308,0,0,unseen
329215923,0.5977331,0.7188204,3,0,0,unseen
329215976,0.21916592,0.5898436,24,0,0,unseen
329215996,0.28194156,0.5618277,162,0,0,unseen
329221260,0.24432698,0.5565654,301,0,0,unseen
329225149,0.018240223,0.1148156,465,0,0,neg_only
329254286,0.22308865,0.5551446,302,0,0,unseen
329254539,0.17451385,0.47071436,312,0,0,unseen
329257947,0.2856456,0.6640644,326,0,0,unseen
329289084,0.28856388,0.7619543,406,0,0,pos_only
329301762,0.22043528,0.8574931,850,0,0,unseen
329435390,0.184707,0.4634451,130,0,0,unseen
329552035,0.33738798,0.78132206,497,0,0,unseen
329560716,0.12591988,0.5432101,737,0,0,unseen
329561513,0.37675348,0.78879035,283,0,0,unseen
329561615,0.3118073,0.6229532,143,0,0,unseen
329561679,0.38850278,0.80596393,80,0,0,unseen
329566174,0.03981803,0.21359962,542,0,0,unseen
329566187,0.27203932,0.5967911,259,0,0,unseen
329566197,0.029438686,0.2177086,292,0,0,pos_only
329566335,0.3072618,0.7500765,553,0,0,unseen
329566467,0.50308293,0.7989403,8,0,0,unseen
329574917,0.08177649,0.34194598,855,0,0,unseen
329578247,0.028679326,0.27000746,309,0,0,unseen
329581637,0.11311881,0.29304466,514,0,0,unseen
329582105,0.19946559,0.6555775,315,0,0,unseen
329638509,0.29925668,0.78456545,986,0,0,unseen
329646990,0.14479779,0.3383883,337,0,0,neg_only
329772284,0.20504338,0.8246792,337,0,0,unseen
329897241,0.16602199,0.8112393,447,0,0,unseen
329897255,0.022619205,0.12975468,1045,0,0,neg_only
329901950,0.26839432,0.5751164,564,0,0,unseen
329906396,0.30368596,0.7504145,258,0,0,unseen
329919036,0.24797471,0.54723024,305,0,0,unseen
329966674,0.15641919,0.5896633,295,0,0,unseen
329970706,0.13183469,0.26951298,297,0,0,both
330074340,0.24639702,0.51812756,291,0,0,unseen
330079381,0.044513114,0.16140881,117,0,0,unseen
330237771,0.30006167,0.6173942,332,0,0,unseen
330259272,0.052950587,0.27276024,550,0,0,unseen
330260421,0.14855981,0.50688064,325,0,0,unseen
330268940,0.02006331,0.052861918,333,0,0,neg_only
330303073,0.16280979,0.49927625,311,0,0,unseen
330316013,0.09080006,0.48669598,331,0,0,unseen
330319983,0.23784748,0.72130567,1099,0,0,unseen
330320065,0.08810416,0.4875585,291,0,0,unseen
330388864,0.22197917,0.55786186,80,0,0,unseen
330415332,0.22120659,0.60458916,285,0,0,unseen
330604760,0.06413879,0.16921373,38,0,0,unseen
330640044,0.05626282,0.1825307,307,0,0,neg_only
330640381,0.10757052,0.42061874,278,0,0,unseen
330661529,0.328555,0.67203844,310,0,0,unseen
330661786,0.11679773,0.26046178,214,0,0,unseen
330678844,0.035590548,0.36258483,697,0,0,unseen
331002291,0.10016947,0.31893966,322,0,0,unseen
331006655,0.22125024,0.6111901,739,0,0,unseen
331338959,0.38488084,0.7757011,331,0,0,unseen
331343089,0.15169594,0.835583,831,0,0,unseen
331662668,0.47845122,0.90443254,1108,0,0,unseen
331662710,0.1549299,0.3898067,270,0,0,both
331774819,0.108726755,0.2149442,18,0,0,neg_only
332007728,0.35875803,0.8391589,1090,0,0,unseen
332344592,0.446066,0.8773317,1143,0,0,unseen
332344670,0.48871735,0.9065166,1063,0,3,unseen
332344760,0.4337874,0.85541767,1140,0,0,unseen
332349327,0.38736483,0.79858005,1128,0,0,unseen
332353438,0.42472595,0.8912855,1139,0,0,unseen
332353566,0.39100257,0.930645,1071,0,0,unseen
332685594,0.47042608,0.91591316,1050,0,0,unseen
332685755,0.38914067,0.80019975,1139,0,0,unseen
354775482,0.36770573,0.86617684,1082,0,0,unseen
354797099,0.15996905,0.48178616,677,0,0,unseen
355073569,0.23025934,0.6887125,1010,0,0,unseen
355077858,0.14263576,0.4802087,825,0,0,unseen
