fc,em,similarity score
5813054716,Trh-M-200043,0.4461606036684168
Trh-M-300071,977339122,0.1435456055935553
977339122,Trh-M-300071,0.1913686670469723
Trh-M-300138,922069357,0.2220919561321117
922069357,Trh-M-300138,0.2140363300980224
Trh-M-300138,832016427,0.2271506455684371
832016427,Trh-M-300138,0.203780124175492
Trh-M-300138,957506896,0.2409052685505275
957506896,Trh-M-300138,0.2024866066388416
Trh-M-300140,5813053851,0.1915038686972145
5813053851,Trh-M-300140,0.2068731847651227
Trh-M-300140,957506896,0.2243546474683297
957506896,Trh-M-300140,0.1911474078863143
Trh-M-400023,5813053851,0.247707383642077
5813053851,Trh-M-400023,0.294087477318355
Trh-M-400052,957506896,0.2388341063935998
957506896,Trh-M-400052,0.2452260000533008
Trh-M-400052,5813053851,0.2017341138468444
5813053851,Trh-M-400052,0.2358827815402135
Trh-M-400110,5813053851,0.2638612034043091
5813053851,Trh-M-400110,0.2631972237588467
Trh-M-400110,5813065004,0.3449775937760475
5813065004,Trh-M-400110,0.3107995610035436
Trh-M-400131,832016427,0.2614659156647569
832016427,Trh-M-400131,0.2440899563620458
Trh-M-500163,922354084,0.3770516179694949
922354084,Trh-M-500163,0.3341751942424872
Trh-M-500163,829598814,0.3760388122981982
829598814,Trh-M-500163,0.347471738679055
VGlut-F-000016,5813027276,0.4534947310284311
5813027276,VGlut-F-000016,0.3538717454778757
VGlut-F-000016,950880008,0.6198680523513118
950880008,VGlut-F-000016,0.5078493248092139
VGlut-F-000111,5812987694,0.0491388515229279
5812987694,VGlut-F-000111,0.1316969766208021
VGlut-F-000111,5813021583,0.2837456711313363
5813021583,VGlut-F-000111,0.2350069973516543
VGlut-F-000158,298254384,0.4998279890507571
298254384,VGlut-F-000158,0.4660231616726213
VGlut-F-000158,5813020785,0.3508938483557989
5813020785,VGlut-F-000158,0.3831661667644317
VGlut-F-000177,5813056321,0.4232829423264115
5813056321,VGlut-F-000177,0.4028579892675586
VGlut-F-000303,5813011119,0.4655453792099993
5813011119,VGlut-F-000303,0.4911155785845903
VGlut-F-000463,1733677514,0.2754739783980182
1733677514,VGlut-F-000463,0.2592180525328895
VGlut-F-000556,885168486,0.496891118768447
885168486,VGlut-F-000556,0.4189191952253301
VGlut-F-100002,914778159,0.182376620301728
914778159,VGlut-F-100002,0.1783140393474983
VGlut-F-100003,1671638278,0.2845071918501733
1671638278,VGlut-F-100003,0.3330575852300606
VGlut-F-100035,575768294,0.3276486724395889
575768294,VGlut-F-100035,0.3595866685091565
VGlut-F-100125,1107081827,0.278739492231792
