fc_id,em_id,nblast_official
5-HT1B-F-500001,Gad1-F-400040,-0.8805717971709883
5-HT1B-F-500001,Gad1-F-400041,-0.8812902136002232
5-HT1B-F-500001,Gad1-F-400056,-0.8815288343139389
5-HT1B-F-500001,Gad1-F-400082,-0.8814873196371915
5-HT1B-F-500001,Gad1-F-400185,-0.8812026478328923
5-HT1B-F-500001,Gad1-F-400408,-0.8813930883485968
5-HT1B-F-500001,Gad1-F-400536,-0.881461216490939
5-HT1B-F-500001,Gad1-F-400922,-0.8815231130090633
5-HT1B-F-500001,Gad1-F-500008,-0.8814770876613179
5-HT1B-F-500001,Gad1-F-500010,-0.8809454136327515
5-HT1B-F-500001,Gad1-F-500011,-0.8813986851227444
5-HT1B-F-500001,Gad1-F-500029,-0.8813627268769819
5-HT1B-F-500001,Gad1-F-500045,-0.8816493253431894
5-HT1B-F-500001,Gad1-F-500051,-0.8812358247476433
5-HT1B-F-500001,Gad1-F-500063,-0.8810479855850173
5-HT1B-F-500001,Gad1-F-500079,-0.8812475121321696
5-HT1B-F-500001,Gad1-F-500097,-0.8812701816383446
5-HT1B-F-500001,Gad1-F-500114,-0.8814589579423622
5-HT1B-F-500001,Gad1-F-500154,-0.881816502254272
5-HT1B-F-500001,Gad1-F-500558,-0.8813395246549446
5-HT1B-F-500001,Gad1-F-600020,-0.8818851342934965
5-HT1B-F-500001,Gad1-F-600031,-0.8813937457244547
5-HT1B-F-500001,Gad1-F-600043,-0.88134176272257
5-HT1B-F-500001,Gad1-F-600055,-0.881329791856097
5-HT1B-F-500001,Gad1-F-600064,-0.8814028817048042
5-HT1B-F-500001,Gad1-F-600078,-0.881881232657688
5-HT1B-F-500001,Gad1-F-600451,-0.8807901969189224
5-HT1B-F-500001,Gad1-F-700009,-0.8811682032857333
5-HT1B-F-500001,Gad1-F-700011,-0.8815117505778446
5-HT1B-F-500001,Gad1-F-700059,-0.8816041656447093
5-HT1B-F-500001,Gad1-F-700439,-0.8810687154568508
5-HT1B-F-500001,Gad1-F-700448,-0.8810655827523655
5-HT1B-F-500001,Gad1-F-700462,-0.880865302875798
5-HT1B-F-500001,Gad1-F-800021,-0.8808908046805624
5-HT1B-F-500001,Gad1-F-800029,-0.8808109961091555
5-HT1B-F-500001,Gad1-F-900026,-0.8818462257206378
5-HT1B-F-500001,Gad1-F-900562,-0.8812058908445699
5-HT1B-F-500001,Gad1-F-900615,-0.8814754906326848
5-HT1B-F-500001,Trh-F-700013,-0.8811690568869113
5-HT1B-F-500001,VGlut-F-100079,-0.8810380633748691
5-HT1B-F-500001,VGlut-F-100195,-0.8816644855290534
5-HT1B-F-500001,VGlut-F-100225,-0.8811457894552789
5-HT1B-F-500001,VGlut-F-200120,-0.8813964953575278
5-HT1B-F-500001,VGlut-F-200218,-0.8810932686719832
5-HT1B-F-500001,VGlut-F-200334,-0.8812683335789628
5-HT1B-F-500001,VGlut-F-200586,-0.8815820264379611
5-HT1B-F-500001,VGlut-F-300236,-0.8812224130012041
5-HT1B-F-500001,VGlut-F-300505,-0.8820227452220633
5-HT1B-F-500001,VGlut-F-300655,-0.8815060004867348
5-HT1B-F-500001,VGlut-F-400497,-0.8810668012794635
5-HT1B-F-500001,VGlut-F-400506,-0.8817387851893947
5-HT1B-F-500001,VGlut-F-400764,-0.8813561719725665
5-HT1B-F-500001,VGlut-F-400861,-0.881439287166922
5-HT1B-F-500001,VGlut-F-500310,-0.8813285281531993
5-HT1B-F-500001,VGlut-F-500345,-0.8810782330164
5-HT1B-F-500001,VGlut-F-500565,-0.8815107438190066
5-HT1B-F-500001,VGlut-F-500567,-0.8809489600519177
5-HT1B-F-500001,VGlut-F-500652,-0.8810981960055533
5-HT1B-F-500001,VGlut-F-500660,-0.8815512619447521
5-HT1B-F-500001,VGlut-F-500679,-0.8818023238920634
5-HT1B-F-500001,VGlut-F-500800,-0.8811048139486303
5-HT1B-F-500001,VGlut-F-600255,-0.8816449757991269
5-HT1B-F-500001,VGlut-F-600511,-0.8810637423450463
5-HT1B-F-500001,VGlut-F-600684,-0.8817152018569918
