fc_id,em_id,group,score,label,soma_dist_um
Gad1-F-900194,1193560072,projection,-0.8789543492798808,0,181.71488608974073
TH-F-000101,331662710,projection,0.389378180727491,1,44.28393127544458
TH-F-000101,421641859,projection,-0.0075047343863395,0,76.67944601427018
TH-F-100083,331662710,projection,0.3124930450489763,1,90.02549137042905
TH-F-100083,329970706,projection,-0.1185552535961422,0,63.272575601254054
TH-F-100099,331662710,projection,0.3483735981214356,1,40.89296107026793
TH-F-100099,329970706,projection,-0.1074443416286648,0,62.00238031821133
TH-F-200030,328943204,projection,0.2758254966704023,0,149.08861032446413
TH-F-200030,203253253,projection,-0.0502550301836351,0,155.23380395725036
TH-F-200033,517514142,projection,0.3289247120460526,1,44.651760659705154
TH-F-200033,608922563,projection,0.257518916387218,0,22.99441945609578
TH-F-200081,331662710,projection,0.3207124758996531,1,46.712200480568605
TH-F-200081,330268940,projection,0.1063894039790611,0,102.71350507169967
TH-F-300020,484911954,projection,-0.1635782142136456,0,243.2434940045552
TH-F-300020,1048172314,projection,-0.3556647418547027,0,307.9493360557894
TH-F-300073,328943204,projection,0.2607975253018051,1,154.12235360924421
TH-F-300073,361040812,projection,-0.0600716496115868,0,233.2831458607359
TH-F-700001,418969956,projection,-0.7204792631740284,0,153.2942786970069
TH-F-700001,297166053,projection,-0.525868251513729,0,157.9586083661328
TH-F-700004,643830129,projection,-0.6388884690126369,0,182.98679304633183
TH-F-700004,5813089803,projection,-0.6663342470920484,0,183.01410853017964
TH-F-700016,5812982779,projection,0.3683113308176248,1,65.45533320134277
TH-F-700016,5813089803,projection,-0.6625872509646294,0,166.51526147834076
TH-F-700022,946645313,projection,-0.5694746194111477,0,176.0342606704015
TH-F-700022,981362334,projection,-0.3004271490219629,1,184.6053716141644
TH-M-300021,517514142,projection,0.2335597622803175,1,75.09741868580406
TH-M-300021,5813049380,projection,0.2081903969533811,0,92.9535914555004
TH-M-500003,580287695,projection,-0.240306303046381,0,239.1937521999473
TH-M-500003,456156825,projection,-0.2121913321427483,0,242.1860096175589
TH-M-600002,1224258912,projection,-0.8342471935648439,0,226.69602386197187
TH-M-600002,1193560072,projection,-0.8286634360374321,0,171.63192071764
TH-M-600003,1224595289,projection,-0.862565092578506,0,82.74255974266117
TH-M-600003,1224258912,projection,-0.8635512395566995,0,232.3577097404268
TH-M-700002,1224595289,projection,-0.7365642029595043,0,88.0846367288397
TH-M-700002,1224945418,projection,-0.7459406130358567,0,219.2711342014851
TH-M-700013,5812979156,projection,0.274053697645866,1,98.01450704188461
TH-M-700013,644417074,projection,0.2207992804912071,1,24.49072179750354
TH-M-700017,604864392,projection,-0.8330168590010211,0,133.42687540405763
TH-M-700017,454439022,projection,-0.3712002350224345,0,239.29677499242646
Trh-M-000099,1602402027,projection,-0.5386049158917516,1,32.19104072428344
Trh-M-000099,986828383,projection,0.2082223701920422,1,143.26889604239273
Trh-M-800009,1048215779,projection,0.4211815754709115,1,121.2936743629198
Trh-M-800009,1016835041,projection,0.4143589766563695,1,118.08125156765924
VGlut-F-200594,5813058048,projection,0.4787787158971847,1,18.56664015385852
VGlut-F-200594,328632707,projection,-0.5969938577201019,0,232.04217105954615
VGlut-F-300680,5813020585,projection,0.5705426138128582,1,138.4325960172635
VGlut-F-300680,1322474586,projection,0.5566550668575216,1,137.8130375385417
VGlut-F-800070,894551935,projection,0.3043274604165795,1,61.210945927171764
VGlut-F-800070,832357089,projection,0.1617239932952071,0,86.98085115035548
VT0765-F-700001,613079053,projection,-0.1452508342688097,0,37.93630975523477
VT0765-F-700001,486544396,projection,-0.3313773095743706,0,146.57399605703753
VT16811-F-700000,1078693835,projection,0.3413856964435297,0,48.85122340480843
VT16811-F-700000,1729935421,projection,-0.4961696706655676,0,223.73100638646625
VT24618-F-700000,5813058048,projection,0.0936202395030199,0,307.0301006184124
VT24618-F-700000,299082033,projection,-0.0933721956942689,0,102.05004819987984
VT38815-F-700000,799586652,projection,0.3013071953486912,0,67.67736291888798
VT38815-F-700000,1640555311,projection,-0.6194797117659213,0,131.19424261561835
VT38815-F-700001,799586652,projection,0.2592114282401121,0,71.35296135081408
VT38815-F-700001,485745069,projection,-0.7444434914072817,0,110.56300710336903
VT43401-F-700002,575768294,projection,-0.4492122774445501,0,75.44969268025798
VT43401-F-700002,5813020673,projection,-0.2865686864587017,0,108.35734413516819
VT50245-F-700000,5813058316,projection,-0.027955081595569,0,134.91860999705972
VT50245-F-700000,700486220,projection,-0.1906043645736551,0,208.86668728066232
VT50245-F-700001,612414168,projection,-0.2516694290293952,0,120.97987110701251
VT50245-F-700001,674807824,projection,-0.2263904508050762,0,128.82259527704488
VT50733-F-700000,919763043,projection,-0.4096147043146838,0,82.53561804884693
VT50733-F-700000,519046655,projection,-0.1022357564963375,0,138.5677903333444
VT58722-F-700000,549282467,projection,-0.0961948690226736,1,73.83799665603355
VT58722-F-700000,326253554,projection,-0.0675408607593156,0,96.72858440520952
VT58722-F-700001,673509195,projection,0.0792308978501987,0,61.72987676243909
VT58722-F-700001,946990515,projection,-0.6744812251673471,0,43.719524772187896
VT5948-F-700000,422725634,projection,0.3186992594586652,1,59.0677448675401
VT5948-F-700000,519279166,projection,-0.3529572092097367,0,104.66502859867455
