neuron_id,group,exclusive,n_pairs,sidetot_top1,sidetot_top2,sidetot_top1_2_sum,sidetot_top3_sum,sidetot_balance21,sidetot_dominance_gap,sidetot_hhi,sidetot_entropy,sidetot_neff_shannon,sidetot_neff_simpson,sidetot_n_above_thr,sidetot_n_above_10pct,sidetot_n_above_20pct,regiontot_top1,regiontot_top2,regiontot_top1_2_sum,regiontot_top3_sum,regiontot_balance21,regiontot_dominance_gap,regiontot_hhi,regiontot_entropy,regiontot_neff_shannon,regiontot_neff_simpson,regiontot_n_above_thr,regiontot_n_above_10pct,regiontot_n_above_20pct,top_region,second_region,top_region_laterality,other_fraction,neuropil_fraction,total_voxels,neuropil_voxels
TH-F-000009,dense,True,7,0.5092764577443945,0.155612846767932,0.6648893045123264,0.7243144000652033,0.305556725431895,0.3536636109764625,0.3214446393950015,1.5373177009404568,4.652095210127644,3.110955596839703,3.0,2.0,1.0,0.5092764577443945,0.155612846767932,0.6648893045123264,0.7303242577761382,0.305556725431895,0.3536636109764625,0.32218677104853993,1.513956223473505,4.544675025229927,3.1037897575544537,3.0,2.0,1.0,vlp_21,dmp_10,1.0,0.18220893371139815,0.8177910662886019,233117.0,190641.0
TH-F-000010,dense,True,7,0.4388688095534834,0.13637960140945604,0.5752484109629394,0.6701374332944335,0.3107525493739512,0.30248920814402736,0.26487741610271737,1.6346153246016344,5.127485200196285,3.7753313012242913,4.0,2.0,1.0,0.4388688095534834,0.13637960140945604,0.5752484109629394,0.6701374332944335,0.3107525493739512,0.30248920814402736,0.26868636453703354,1.5751369179235033,4.831403078503469,3.721811494688515,4.0,2.0,1.0,dlp_23,fspp_19,1.0,0.1994312323676369,0.8005687676323631,88261.0,70659.0
TH-F-000012,dense,True,5,0.24589884790957178,0.24376494456923412,0.48966379247880587,0.6307513948264618,0.991322027905058,0.0021339033403376673,0.16860137606815345,1.97289396293966,7.191458216627964,5.931149693557493,6.0,3.0,2.0,0.24589884790957178,0.24376494456923412,0.48966379247880587,0.6307513948264618,0.991322027905058,0.0021339033403376673,0.16860137606815345,1.97289396293966,7.191458216627964,5.931149693557493,6.0,3.0,2.0,dlp_23,lh_25,1.0,0.1280631838272589,0.8719368161727411,276020.0,240672.0
TH-F-000019,dense,True,8,0.7733613221176838,0.06242606380033325,0.835787385918017,0.8811483455910114,0.08072043689667965,0.7109352583173506,0.610225663240307,0.8897133901885675,2.4344318192472367,1.63873802797802,2.0,1.0,1.0,0.7733613221176838,0.06242606380033325,0.835787385918017,0.8811483455910114,0.08072043689667965,0.7109352583173506,0.6102256632403069,0.8897133901885677,2.434431819247237,1.6387380279780202,2.0,1.0,1.0,dfp_5,fspp_19,1.0,0.07190499921973713,0.9280950007802629,198651.0,184367.0
TH-F-000036,dense,True,6,0.5019446378412119,0.16314551172784672,0.6650901495690587,0.7414231868052721,0.3250269042209733,0.33879912611336516,0.3127098175657501,1.4963306437973976,4.465274291003484,3.1978529097179393,3.0,2.0,1.0,0.5019446378412119,0.16314551172784672,0.6650901495690587,0.7414231868052721,0.3250269042209733,0.33879912611336516,0.3127098175657501,1.4963306437973978,4.465274291003485,3.1978529097179393,3.0,2.0,1.0,dfp_5,fspp_19,1.0,0.15851199193335413,0.8414880080666458,83306.0,70101.0
TH-F-000046,dense,True,2,0.8181504652462115,0.06278927002214145,0.8809397352683529,0.9066955448105561,0.07674538204075439,0.7553611952240701,0.6778946039192342,0.7453263527789735,2.107128990183451,1.4751555687543756,2.0,1.0,1.0,0.8181504652462115,0.06278927002214145,0.8809397352683529,0.9066955448105561,0.07674538204075439,0.7553611952240701,0.6778946039192341,0.7453263527789737,2.1071289901834516,1.4751555687543758,2.0,1.0,1.0,dfp_5,ms_12,1.0,0.05665036523034688,0.9433496347696532,144977.0,136764.0
TH-F-000079,dense,True,1,0.4596405842367254,0.18430686820594858,0.6439474524426739,0.7400712346624625,0.40098040627114495,0.27533371603077683,0.2745348594286957,1.6922979558724345,5.43194875266807,3.6425246763962504,3.0,2.0,1.0,0.4596405842367254,0.18430686820594858,0.6439474524426739,0.7401456786896528,0.40098040627114495,0.27533371603077683,0.27461889233133174,1.6858353610625934,5.396957457916265,3.641410070190966,3.0,2.0,1.0,vlp_21,dmp_10,1.0,0.13143010284855935,0.8685698971514406,604481.0,525034.0
TH-F-000091,dense,True,2,0.4033519292266754,0.09992763941084475,0.5032795686375201,0.6014215354450176,0.24774305555555554,0.30342428981583064,0.21279966758581517,1.953566846601546,7.053802595074557,4.699255460992356,5.0,1.0,1.0,0.4587544641815084,0.19806960621834224,0.6568240703998507,0.7336663476576177,0.43175515811433074,0.26068485796316615,0.2805084796734343,1.571663068099368,4.814648627840504,3.5649546180001117,4.0,2.0,1.0,dfp_5,mb_4,0.7584654132851655,0.13964426600686258,0.8603557339931374,85682.0,73717.0
TH-F-100005,dense,True,2,0.483181723284321,0.14611530317038982,0.6292970264547109,0.6991917444600197,0.3024023801587596,0.3370664201139312,0.2948162527960336,1.638964030959793,5.149831681614014,3.3919432545390995,3.0,2.0,1.0,0.483181723284321,0.14611530317038982,0.6292970264547109,0.6991917444600197,0.3024023801587596,0.3370664201139312,0.2948420356449898,1.6364321507143385,5.136809416875852,3.391646641607336,3.0,2.0,1.0,vlp_21,dmp_10,1.0,0.1817978466402219,0.8182021533597781,335290.0,274335.0
TH-F-100036,dense,True,5,0.4142449722181246,0.133844716526528,0.5480896887446526,0.6402738850371245,0.3231052287969612,0.28040025569159666,0.24103395723979454,1.689941403395086,5.419163151265368,4.1487930225745835,5.0,2.0,1.0,0.4142449722181246,0.1760952942911934,0.590340266509318,0.724184983035846,0.4250994124280372,0.23814967792693123,0.25651412600905316,1.5660047772239611,4.787482873789212,3.8984207831295303,4.0,3.0,1.0,dlp_23,dfp_5,1.0,0.17206323449869695,0.827936765501303,81348.0,67351.0
